Last,First,Team,FGMade,FGMiss,PATMade,PATMiss,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Akers,David,SF/9,33,6,37,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,14.69,10.83,6.19,1.29,0.43,1.67,2.92,0.98,145,149,38,15,AkerDa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bailey,Dan,Dal/5,27,7,44,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.02,8.86,5.06,1.06,0.5,1.95,3.4,1.15,132,188,0,2,BailDa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barth,Connor,TB/5,23,5,35,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.24,7.55,4.31,0.9,0.36,1.39,2.43,0.82,110,9999,26,5,BartCo44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bironas,Rob,Ten/11,27,3,34,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.02,8.86,5.06,1.06,0.21,0.84,1.46,0.49,122,228,34,8,BiroRo44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Josh,NYJ/9,25,7,41,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,11.13,8.2,4.69,0.98,0.5,1.95,3.4,1.15,123,9999,33,10,BrowJo44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bryant,Matt,Atl/7,26,4,44,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,11.58,8.53,4.88,1.02,0.28,1.11,1.95,0.66,129,242,37,11,BryaMa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bullock,Randy,Hou/8,29,5,40,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.91,9.51,5.44,1.13,0.36,1.39,2.43,0.82,135,9999,23,1,BullRa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carpenter,Dan,Mia/7,31,7,31,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,13.8,10.17,5.81,1.21,0.5,1.95,3.4,1.15,132,9999,27,5,CarpDa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crosby,Mason,GB/10,24,5,58,1,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.69,7.87,4.5,0.94,0.36,1.39,2.43,0.82,136,178,28,6,CrosMa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cundiff,Billy,Bal/8,27,7,40,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.02,8.86,5.06,1.06,0.5,1.95,3.4,1.15,128,9999,32,11,CundBi44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dawson,Phil,Cle/10,24,4,27,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.69,7.87,4.5,0.94,0.28,1.11,1.95,0.66,105,9999,37,14,DawsPh44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
