Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Addai,Joseph,NE/9,50,200,0,1,3,21,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,31,165,29,7,AddaJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Allen,Anthony,Bal/8,25,98,0,0,4,30,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,17,9999,24,2,AlleAn01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ball,Lance,Den/7,45,189,0,1,5,40,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,34,9999,27,3,BallLa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ballard,Vick,Ind/4,45,180,0,1,5,33,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,32,9999,22,1,BallVi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Batch,Baron,Pit/4,35,140,0,1,3,19,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,25,9999,25,2,BatcBa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bell,Kahlil,Chi/6,35,144,0,0,6,45,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,25,9999,26,4,BellKa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benson,Cedric,FA,60,240,0,3,4,28,0,4,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.8,0.6,0.3,0.15,0.06,0.09,1.6,1.16,0.72,0.32,0.08,0.12,73,150,30,8,BensCe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Best,Jahvid,Det/5,135,581,1,3,44,418,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.56,0.45,0.3,0.3,0.24,0.15,0.76,0.48,0.32,0.24,0.08,0.12,174,76,23,3,BestJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blount,LeGarrette,TB/5,110,473,1,3,12,96,0,0,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.8,0.6,0.3,0.15,0.06,0.09,0,0,0,0,0,0,87,105,26,3,BlouLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bradshaw,Ahmad,NYG/11,235,1011,3,7,44,330,0,2,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.76,0.48,0.32,0.24,0.08,0.12,232,37,26,6,BradAh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brinkley,Curtis,SD/7,20,80,0,1,5,35,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,23,265,27,3,BrinCu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Bryce,Phi/7,20,80,0,0,2,14,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,11,9999,21,1,BrowBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Donald,Ind/4,175,770,2,5,22,154,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3,1,0.5,0.25,0.1,0.15,0,0,0,0,0,0,144,99,25,4,BrowDo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Ronnie,SD/7,40,160,0,1,12,82,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,42,9999,31,8,BrowRo05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bush,Michael,Chi/6,125,525,1,5,20,170,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3,1,0.5,0.25,0.1,0.15,0.4,0.29,0.18,0.08,0.02,0.03,126,80,28,6,BushMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bush,Reggie,Mia/7,180,792,2,5,40,268,0,1,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0.38,0.24,0.16,0.12,0.04,0.06,182,47,27,7,BushRe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carter,Delone,Ind/4,115,449,1,2,12,72,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,76,154,25,2,CartDe01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Charles,Jamaal,KC/7,215,1226,5,5,39,312,0,2,4,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0.76,0.48,0.32,0.24,0.08,0.12,235,25,26,5,CharJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Choice,Tashard,Buf/8,30,114,0,0,9,59,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,26,9999,28,5,ChoiTa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clay,Charles,Mia/7,0,0,0,0,14,174,0,1,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0.4,0.29,0.18,0.08,0.02,0.03,37,9999,23,2,ClayCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Conner,John,NYJ/9,15,53,0,1,4,28,0,0,0,0.78,0.1,0.07,0.03,0.01,0.01,0.44,0.3,0.2,0.04,0.01,0.01,0.78,0.1,0.07,0.03,0.01,0.01,0,0,0,0,0,0,18,9999,25,3,ConnJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dwyer,Jonathan,Pit/4,55,231,0,1,4,25,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,36,222,23,3,DwyeJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Forsett,Justin,Sea/11,35,151,0,0,10,80,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,33,9999,27,5,ForsJu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Forte,Matt,Chi/6,215,968,3,4,49,441,0,2,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.08,0.6,0.4,0.4,0.32,0.2,0.76,0.48,0.32,0.24,0.08,0.12,226,15,27,5,FortMa00,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Foster,Arian,Hou/8,300,1410,6,12,63,567,0,3,5,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,6.24,1.8,1.2,1.2,0.96,0.6,1.14,0.72,0.48,0.36,0.12,0.18,351,1,26,4,FostAr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gerhart,Toby,Min/11,125,550,1,4,21,172,0,1,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0.4,0.29,0.18,0.08,0.02,0.03,123,111,25,3,GerhTo00,1,1,1,1,1,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5
Goodson,Mike,Oak/5,65,260,0,2,10,80,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,56,157,25,4,GoodMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
