Last,First,Team,Rec,Yards,100 yd,TD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Allen,Dwayne,Ind/4,18,198,0,1,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.49,0.35,0.09,0.02,0.02,0.04,53,9999,22,1,AlleDw00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beckum,Travis,NYG/11,9,90,0,0,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0,0,0,0,0,0,23,9999,25,4,BeckTr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bennett,Martellus,NYG/11,34,289,0,3,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,1.47,1.04,0.27,0.05,0.05,0.11,98,197,25,5,BennMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boss,Kevin,KC/7,14,154,0,1,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.49,0.35,0.09,0.02,0.02,0.04,42,9999,28,6,BossKe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameron,Jordan,Cle/10,8,72,0,0,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0,0,0,0,0,0,19,9999,24,2,CameJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carlson,John,Min/11,21,210,0,1,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.49,0.35,0.09,0.02,0.02,0.04,59,9999,28,5,CarlJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casey,James,Hou/8,17,204,0,1,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.49,0.35,0.09,0.02,0.02,0.04,52,9999,28,4,CaseJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Celek,Brent,Phi/7,62,775,1,5,0,0.37,0.35,0.15,0.03,0.05,0.05,1.85,1.75,0.75,0.15,0.25,0.25,201,116,27,6,CeleBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandler,Scott,Buf/8,37,370,0,4,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,1.96,1.38,0.36,0.07,0.07,0.15,117,9999,27,6,ChanSc00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clark,Dallas,TB/5,35,350,0,2,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.98,0.69,0.18,0.04,0.04,0.07,100,223,33,10,ClarDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cook,Jared,Ten/11,44,550,0,3,1,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,1.47,1.04,0.27,0.05,0.05,0.11,139,123,25,4,CookJa02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooley,Chris,Was/10,11,121,0,0,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0,0,0,0,0,0,29,9999,30,9,CoolCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniels,Owen,Hou/8,48,595,1,4,1,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,1.96,1.38,0.36,0.07,0.07,0.15,156,133,30,7,DaniOw00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Davis,Fred,Was/10,63,813,2,5,1,0.37,0.35,0.15,0.03,0.05,0.05,1.85,1.75,0.75,0.15,0.25,0.25,206,86,26,5,DaviFr01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Davis,Kellen,Chi/6,13,143,0,2,0,0.4909,0.3455,0.0909,0.0182,0.0182,0.0364,0.98,0.69,0.18,0.04,0.04,0.07,46,9999,27,5,DaviKe01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Davis,Vernon,SF/9,70,827,1,6,1,0.37,0.35,0.15,0.03,0.05,0.05,2.22,2.1,0.9,0.18,0.3,0.3,224,64,28,7,DaviVe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
