Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Adams,Joe,Car/6,1,5,0,0,11,131,0,0,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0,0,0,0,0,0,25,9999,23,1,AdamJo01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexander,Danario,StL/9,0,0,0,0,20,296,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.12,0.2,0.14,0.19,0.14,0.21,56,9999,24,3,AlexDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Amendola,Danny,StL/9,0,0,0,0,49,588,1,3,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,126,180,27,5,AmenDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armstrong,Anthony,Was/10,1,6,0,0,7,97,0,0,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0,0,0,0,0,0,17,9999,29,5,ArmsAn00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aromashodu,Devin,Min/11,0,0,0,0,9,149,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.12,0.2,0.14,0.19,0.14,0.21,30,9999,28,7,AromDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austin,Miles,Dal/5,2,8,0,0,76,1125,4,9,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,1.11,1.8,1.26,1.71,1.26,1.85,243,45,28,7,AustMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Avant,Jason,Phi/7,0,0,0,0,33,439,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,89,9999,29,7,AvanJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Avery,Donnie,Ind/4,0,0,0,0,35,508,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,104,9999,28,5,AverDo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baldwin,Doug,Sea/11,1,5,0,0,48,720,1,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.5,0.8,0.56,0.76,0.56,0.82,145,171,24,2,BaldDo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baldwin,Jonathan,KC/7,1,6,0,0,27,327,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,72,176,23,2,BaldJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benjamin,Travis,Cle/10,0,0,0,0,15,180,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,39,9999,23,1,BenjTr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benn,Arrelious,TB/5,3,12,0,0,24,336,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,71,9999,24,3,BennAr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bennett,Earl,Chi/6,0,0,0,0,38,498,0,3,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,106,243,25,5,BennEa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bess,Davone,Mia/7,2,9,0,0,60,632,1,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,148,214,27,5,BessDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Binns,Armon,Cin/8,0,0,0,0,33,396,0,3,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,91,9999,23,2,BinnAr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blackmon,Justin,Jac/6,3,18,0,0,51,678,1,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,145,97,22,1,BlacJu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boldin,Anquan,Bal/8,0,0,0,0,57,798,2,4,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,161,93,32,10,BoldAn00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bowe,Dwayne,KC/7,1,6,0,0,70,1002,3,6,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.24,1.86,1.34,0.83,0.31,0.41,207,49,28,6,BoweDw00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Branch,Deion,NE/9,0,0,0,0,27,354,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,80,216,33,11,BranDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Breaston,Steve,KC/7,2,12,0,0,39,502,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,108,251,29,6,BreaSt00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Britt,Kenny,Ten/11,0,0,0,0,71,1172,4,7,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.87,1.4,0.98,1.33,0.98,1.44,230,55,24,4,BritKe00,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Antonio,Pit/4,7,49,0,0,73,1015,3,5,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.03,1.55,1.12,0.69,0.26,0.35,209,65,24,3,BrowAn04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,Vincent,SD/7,1,6,0,0,38,585,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.37,0.6,0.42,0.57,0.42,0.62,115,147,23,2,BrowVi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Broyles,Ryan,Det/5,0,0,0,0,13,163,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,35,253,24,1,BroyRy00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bryant,Dez,Dal/5,2,10,0,0,75,1103,3,10,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,1.24,2,1.4,1.9,1.4,2.06,246,41,24,3,BryaDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burleson,Nate,Det/5,9,72,0,0,43,516,0,4,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.83,1.24,0.9,0.55,0.21,0.28,126,155,31,10,BurlNa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caldwell,Andre,Den/7,0,0,0,0,23,276,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,63,241,27,5,CaldAn00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Childs,Greg,Min/11,0,0,0,0,19,209,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,46,9999,22,1,ChilGr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coale,Danny,Dal/5,0,0,0,0,18,216,0,1,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.21,0.31,0.22,0.14,0.05,0.07,46,9999,24,1,CoalDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cobb,Randall,GB/10,3,15,0,0,22,328,0,3,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.37,0.6,0.42,0.57,0.42,0.62,74,187,22,2,CobbRa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Collie,Austin,Ind/4,0,0,0,0,65,728,1,5,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.03,1.55,1.12,0.69,0.26,0.35,168,173,27,4,CollAu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colston,Marques,NO/6,0,0,0,0,79,1043,3,9,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.86,2.79,2.02,1.24,0.47,0.62,237,44,29,7,ColsMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooper,Riley,Phi/7,0,0,0,0,19,285,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,0.25,0.4,0.28,0.38,0.28,0.41,60,261,25,3,CoopRi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cosby,Quan,Ind/4,0,0,0,0,11,138,0,0,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0,0,0,0,0,0,25,9999,30,4,CosbQu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cotchery,Jerricho,Pit/4,0,0,0,0,24,317,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,68,9999,30,9,CotcJe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crabtree,Michael,SF/9,0,0,0,0,64,772,1,5,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.03,1.55,1.12,0.69,0.26,0.35,171,104,25,4,CrabMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cribbs,Joshua,Cle/10,7,35,0,0,24,298,0,2,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,69,9999,29,8,CribJo01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Criner,Juron,Oak/5,0,0,0,0,28,378,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,78,9999,23,1,CrinJu00,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
Cruz,Victor,NYG/11,2,12,0,0,78,1248,4,9,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.1238,0.2,0.14,0.19,0.1402,0.206,0,0,0,0,0,0,1.11,1.8,1.26,1.71,1.26,1.85,258,36,26,3,CruzVi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Decker,Eric,Den/7,1,3,0,0,64,883,2,7,1,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,1.45,2.17,1.57,0.97,0.36,0.48,195,74,25,3,DeckEr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Doucet,Early,Ari/10,0,0,0,0,39,495,0,3,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.62,0.93,0.67,0.41,0.16,0.21,106,9999,27,5,DoucEa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Douglas,Harry,Atl/7,1,3,0,0,37,459,0,2,0,0.7273,0.0979,0.0629,0.021,0.028,0.0629,0.2069,0.3103,0.2241,0.1379,0.0517,0.069,0,0,0,0,0,0,0.41,0.62,0.45,0.28,0.1,0.14,95,9999,27,5,DougHa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
