ADP,PlayerName,Position,Team,ByeWeek,MFL,FFC,ESPN,CBS,MDC,FPros
1,Adrian Peterson,RB,MIN,5,1,1,1,1,1,1
2,Arian Foster,RB,HOU,8,2,3,2,2,6,2
3,Doug Martin,RB,TB,5,3,2,5,3,2,3
4,Jamaal Charles,RB,KC,10,5,5,6,4,5,4
5,C.J. Spiller,RB,BUF,12,9,4,7,6,3,6
6,Marshawn Lynch,RB,SEA,12,8,6,3,5,9,5
7,Calvin Johnson,WR,DET,9,4,9,9,7,4,8
8,Ray Rice,RB,BAL,8,6,7,4,9,8,7
9,Trent Richardson,RB,CLE,10,7,8,10,8,10,10
10,LeSean McCoy,RB,PHI,12,10,10,13,10,11,9
11,Aaron Rodgers,QB,GB,4,11,23,8,12,7,12
12,Alfred Morris,RB,WAS,5,12,11,11,13,15,11
13,A.J. Green,WR,CIN,12,13,17,15,17,12,13
14,Dez Bryant,WR,DAL,11,14,14,16,19,13,14
15,Drew Brees,QB,NO,7,16,24,12,11,14,15
16,Matt Forte,RB,CHI,8,19,13,19,14,22,17
17,Steven Jackson,RB,ATL,6,23,15,17,15,25,16
18,Chris Johnson,RB,TEN,8,21,12,22,18,19,22
19,Brandon Marshall,WR,CHI,8,17,19,21,24,20,18
20,Julio Jones,WR,ATL,6,15,22,23,23,17,21
21,Jimmy Graham,TE,NO,7,18,21,26,22,21,20
22,Stevan Ridley,RB,NE,10,28,16,20,20,26,19
23,Peyton Manning,QB,DEN,9,25,36,14,16,18,25
24,Demaryius Thomas,WR,DEN,9,20,25,25,27,16,24
25,Maurice Jones-Drew,RB,JAC,9,27,18,28,21,24,23
26,Larry Fitzgerald,WR,ARI,9,26,28,31,29,29,27
27,Roddy White,WR,ATL,6,30,34,27,32,28,28
28,Andre Johnson,WR,HOU,8,29,35,29,30,31,30
29,Randall Cobb,WR,GB,4,22,30,36,35,35,29
30,Frank Gore,RB,SF,9,36,26,24,28,47,26
31,Cam Newton,QB,CAR,4,24,45,30,36,23,32
32,DeMarco Murray,RB,DAL,11,33,27,43,26,38,36
33,Victor Cruz,WR,NYG,9,31,32,35,39,37,31
34,Darren McFadden,RB,OAK,7,35,31,37,31,32,40
35,Reggie Bush,RB,DET,9,38,20,46,25,43,35
36,Tom Brady,QB,NE,10,34,48,18,34,49,33
37,Vincent Jackson,WR,TB,5,37,39,32,40,42,34
38,David Wilson,RB,NYG,9,39,37,39,37,30,47
39,Rob Gronkowski,TE,NE,10,32,46,42,41,27,48
40,Lamar Miller,RB,MIA,6,44,29,63,33,36,41
41,Matt Ryan,QB,ATL,6,40,53,34,38,44,43
42,Marques Colston,WR,NO,7,50,41,41,48,40,38
43,Dwayne Bowe,WR,KC,10,52,40,55,47,34,39
44,Wes Welker,WR,DEN,9,43,42,33,43,69,42
45,Danny Amendola,WR,NE,10,58,43,50,51,48,44
46,Montee Ball,RB,DEN,9,63,44,40,45,41,64
47,Le'Veon Bell,RB,PIT,5,54,33,68,44,53,49
48,Darren Sproles,RB,NO,7,51,38,44,42,72,57
49,Jordy Nelson,WR,GB,4,48,54,64,56,33,51
50,Reggie Wayne,WR,IND,8,56,47,45,49,67,46
51,Hakeem Nicks,WR,NYG,9,49,52,53,62,46,52
52,Vernon Davis,TE,SF,9,64,56,52,53,45,56
53,Jason Witten,TE,DAL,11,55,62,51,50,58,58
54,Colin Kaepernick,QB,SF,9,41,69,38,60,95,37
55,Eric Decker,WR,DEN,9,61,63,57,54,55,53
56,Torrey Smith,WR,BAL,8,57,57,70,69,39,54
57,Matthew Stafford,QB,DET,9,53,64,54,46,79,59
