PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Aaron Rodgers,GB,535.4,360.1,4769.80,40.8,8.6,57.3,268.5,3.4,2.3,379.3
Tom Brady,NE,575.1,384.3,4899.40,39.8,11.4,31.7,77.7,1.2,1.7,344.4
Drew Brees,NO,613.6,426.1,5039.40,39.7,15.5,19.2,42.8,0.6,2.2,332.9
Cam Newton,CAR,515.1,314.9,3987.00,22.6,15.5,91.8,634.6,9,2.6,331.3
Matthew Stafford,DET,592.8,381,4724.20,37.9,15.2,22.3,77.6,0.6,2.4,316.9
Michael Vick,PHI,461.9,276.4,3632.80,24.1,13.7,80,614,4.7,5.8,292.8
Tony Romo,DAL,531.4,346.3,4280.50,30.8,11.3,20.4,64.9,0.9,2.5,278.8
Matt Ryan,ATL,550,340.8,4270.50,30.9,13.4,33.2,87.7,0.9,2.6,276.3
Eli Manning,NYG,555.6,345.7,4427.30,31.2,15.6,25.1,39.5,0.5,3.2,271.5
Peyton Manning,DEN,542.1,358.2,4382.10,31,14.1,15.8,15.6,0.1,1.2,270.6
Philip Rivers,SD,546.4,347.3,4511.20,29.7,15.4,24.2,38.8,0.4,3.6,267.6
Robert Griffin III,WAS,489.5,280.6,3516.90,20,15.9,105.5,501.9,4.6,4.3,258
Ben Roethlisberger,PIT,500,308.5,4013.50,25.2,12.5,34.6,111.6,1.5,3.6,249.5
Josh Freeman,TB,499.5,312.8,3762.20,23,15.2,55.8,285.5,2.8,4,249.4
Matt Schaub,HOU,480,297.2,3796.20,25.1,11,20.3,27.5,0.9,2.1,234.5
Jay Cutler,CHI,485.5,296.2,3725.20,24.2,13.4,36.5,145,1.3,4.3,232.6
Joe Flacco,BAL,514.6,312.5,3874.20,24.1,12.6,33.5,85.5,0.9,4.1,231.6
Ryan Fitzpatrick,BUF,520.2,318.3,3695.10,24.6,18.6,41.5,195.6,0.6,3.2,225.5
Andy Dalton,CIN,508.9,306.4,3650.90,23.5,13.8,30.5,134.4,0.8,2.8,225.2
Alex Smith,SF,484.9,291.8,3493.80,21.5,9.8,38.3,151.9,1.5,2.8,224.6
Andrew Luck,IND,512,307.1,3636.90,22.5,16.5,60.8,194.5,1.4,4,222.4
Carson Palmer,OAK,489.8,294,3726.50,23.2,16.6,25.3,47.5,0.8,1.9,214.5
Matt Cassel,KC,469.7,272.9,3310.10,20,12.1,31.3,120.9,0.5,2.3,198.7
Christian Ponder,MIN,461.6,263.7,3114.70,18.8,14.9,43.6,269.6,1.2,3.7,196.6
Matt Flynn,SEA,449.5,270.6,3287.40,19.9,13,33.9,76.4,1,2.4,193.8
Sam Bradford,STL,510.7,304.2,3543.70,19.1,13,27.4,68.2,0.6,4.3,193.7
Mark Sanchez,NYJ,431.6,253.7,2986.60,18.9,14.9,29.9,96.7,1.8,3.9,178.1
Brandon Weeden,CLE,485.6,281.4,3185.80,16.9,15.2,26.8,80,0.5,3.8,168.4
Jake Locker,TEN,332.9,193.5,2527.50,14.7,9.8,34.5,180.3,1.7,2.1,164
Blaine Gabbert,JAC,404.1,233.2,2774.30,15.9,12.9,38.8,140.6,0.4,4.3,156.9
Kevin Kolb,ARI,333.8,199.2,2553.80,13.9,12.2,17.1,70.1,0.3,5.2,131.5
Tim Tebow,NYJ,112.2,63.5,786.3,5.3,3.5,83,428.1,5.6,1,120
John Skelton,ARI,227.4,136.2,1519.30,8.9,8,19,67.3,0.2,0.5,86.9
Matt Hasselbeck,TEN,210.1,121.6,1500.60,9.3,6.6,12.5,32.3,0.2,1.8,84.7
Ryan Tannehill,MIA,213.9,125.6,1512.70,7.8,7.5,18.4,77.8,0.6,1.8,84.5
Matt Moore,MIA,205.6,127.4,1453.00,9.2,6.3,16.3,58.2,0.3,3.9,81.9
David Garrard,MIA,183.4,103.1,1060.80,6.4,5.3,23.2,81.1,0.6,1.3,66.4
Tarvaris Jackson,SEA,101.5,67.1,721.5,3.5,3.4,25.4,54.1,0.2,0.3,41.8
Chad Henne,JAC,106.9,61.3,613.6,3.6,3.2,7.9,33.1,0.3,0.7,36.2
Colt McCoy,CLE,53.9,37.9,478.9,2.5,2.5,7.1,34.4,0,0,27.6
Joe Webb,MIN,52.1,29.9,307.1,1.3,2,14.3,76.1,1,0.2,26.5
Russell Wilson,SEA,58.7,23.6,344,1.4,1.2,8.7,43.3,0.6,0,24.9
Vince Young,BUF,51.2,30.5,342.2,2.3,1.3,11.5,42.5,0.2,1,23.9
Brady Quinn,KC,40.9,28.2,309.2,1.8,1.5,1.5,12.5,0,0,17.8
Mike Kafka,PHI,44.2,28.3,311.8,1.9,1.9,2.2,8,0,0.2,16.6
Seneca Wallace,CLE,44.4,25.7,276.8,1.6,0.8,4.7,9.6,0,0.4,16
Kyle Orton,DAL,37,25.2,271,1.3,1,1.3,3.8,0,0,14.4
Jason Campbell,CHI,32.2,21.6,241.6,0.9,0.6,3.6,11.4,0.3,0.2,14.4
Dan Orlovsky,TB,36.4,30.1,340,1.5,2.1,0.5,4.5,0,0.8,14.2
Drew Stanton,IND,32.8,21.9,259.3,1.3,0.8,11.5,11.8,0,0.5,14.1
Nick Foles,PHI,47.1,22.3,264.3,1,1.3,5.3,9.3,0,0,12.9
Colin Kaepernick,SF,21.6,17.2,191,0.7,0.7,1.8,28.2,0,0,12
Josh Johnson,SF,23.6,14.4,163.5,0.5,1.8,8,42.5,0.3,0,10.7
Taylor Yates,HOU,29.3,19.9,236.7,0.7,0.9,2.8,8.3,0,0.3,10.7
Shaun Hill,DET,29.4,16.5,159.2,0.8,0.8,3,9.4,0.3,0.1,10.4
Kellen Clemens,STL,25.9,23.8,211.6,0.6,0.8,1,8.4,0,0,10.1
Graham Harrell,GB,25.2,16.9,189.7,1.1,0.9,0.5,4,0,0.3,10
Matt Leinart,OAK,22.9,18.2,200.6,1.2,1.2,1.3,6.6,0,0.6,9.7
Rex Grossman,WAS,28.5,29.6,195.3,1.2,1.5,1,3.6,0,0.2,9.6
Brock Osweiler,DEN,20.8,10.1,124.2,1.1,0.3,1.7,4,0,0,9.1
Chris Redman,ATL,26.5,14.7,164.8,0.8,0.7,1.4,2.6,0,0,8.3
Brian Hoyer,NE,17.8,15.2,159,0.6,0.5,1.3,5.1,0,0.2,7.9
Charlie Whitehurst,SD,13.7,12.8,156.5,0.8,0.8,1,5.8,0,0.6,7.3
David Carr,NYG,21.5,14.5,137,0.8,0.6,1,4.6,0,0.4,7.3
Ryan Lindley,ARI,0,15,150,1,2,0,10,0,0,7
Charlie Batch,PIT,22,8.7,99,0.7,0.3,3,2,0,0,6.2
