PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Adrian Peterson,MIN,327,1652.7,12.9,39.1,280,1.4,2.4,274.5
Arian Foster,HOU,302.9,1346.8,13.3,43.8,371.9,1.9,2.2,258.7
Doug Martin,TB,300.4,1354.6,9.6,53.6,441.7,1.4,1.2,243.2
Jamaal Charles,KC,253.6,1418.1,6.6,57.5,468.4,2.1,2.3,236.4
Marshawn Lynch,SEA,296.9,1432,11.5,24.9,195.5,0.9,2.4,232.2
C.J. Spiller,BUF,256.9,1367.5,7.3,47,415.3,2.4,2.7,231.4
Trent Richardson,CLE,291.6,1217.9,9.8,49.2,381.4,1.3,1.7,223.3
Ray Rice,BAL,249.4,1135.5,8.2,60.6,492.8,2.1,1.7,221
LeSean McCoy,PHI,261.7,1200.7,8.2,54.3,402.7,2.3,2.2,219.2
Alfred Morris,WAS,311.1,1429.7,11,14.9,98.8,0.3,2.6,214.9
Matt Forte,CHI,250.2,1124.5,5.2,58.7,467.4,2.4,2.1,200.5
Steven Jackson,ATL,245.9,1078.6,9,42.1,336.3,0.8,1,197.9
Stevan Ridley,NE,272.5,1241.4,10.9,9.4,80.5,0.2,2.4,194.2
Chris Johnson,TEN,262.3,1221.2,6.2,39.8,307.8,0.7,2,190.3
Maurice Jones-Drew,JAC,268.4,1154.2,6.6,37.3,302.5,1.1,2.2,187.7
Reggie Bush,DET,193.5,886.4,4.6,69.4,542.8,2.9,2,184.2
DeMarco Murray,DAL,231.1,1091.9,6.9,41,309.9,0.8,1.9,182.8
Frank Gore,SF,246.6,1110.7,7.6,24.9,205.7,1,1.7,179.7
David Wilson,NYG,227,1081.5,5.9,27.6,262,1.6,1.3,176.9
Lamar Miller,MIA,225.2,1048.4,6.5,33.2,277.4,1.3,1.5,176.2
Darren McFadden,OAK,223.6,1026.8,6.1,38.8,305.5,1.2,2,172.6
Le'Veon Bell,PIT,244.6,1007.5,6.9,29.5,202.2,0.7,1.9,162.9
Darren Sproles,NO,72.6,410.4,2.2,79.7,692.3,6.5,0.7,161.3
Montee Ball,DEN,218.2,951.6,7.8,21.3,167,0.5,1.7,158
Christopher Ivory,NYJ,225.5,1013.4,6.7,15.5,127.2,0.4,1.6,153.8
Rashard Mendenhall,ARI,222.9,905.8,6.3,20.8,159,0.3,1.6,143.1
Ahmad Bradshaw,IND,178.7,832.5,5.8,27.5,210.7,0.9,1.1,142
Eddie Lacy,GB,189.6,851.4,6.7,20.7,156.8,0.5,1.5,141.1
Ryan Mathews,SD,201.1,865.8,4.9,31.4,245.9,0.6,1.8,140.6
Shane Vereen,NE,124.6,533.4,4.2,51.1,433.5,2.4,0.5,135.3
Giovani Bernard,CIN,157.8,717,4,39.4,308,1.2,1.7,129.9
Andre Brown,NYG,147.1,646.9,7.5,20.2,153.7,0.5,1.3,125.1
BenJarvus Green-Ellis,CIN,184.6,785.3,6.1,11.7,86.5,0,1.1,121.6
DeAngelo Williams,CAR,162.8,731.6,5.1,17.5,131.4,0.5,1.1,118.1
Daryl Richardson,STL,145.9,660.1,3.6,33,231.5,1,1.6,113.6
Mark Ingram,NO,168.3,703.3,6.3,9.6,58.5,0.1,0.8,112.9
Jonathan Stewart,CAR,141.3,647.7,4.2,22.4,202,0.8,1.6,111.8
Pierre Thomas,NO,124.6,548.4,3.2,37.8,297.6,0.9,1,107.4
Danny Woodhead,SD,97.6,430.9,2.6,41.7,352.5,1.6,0.4,102.5
Vick Ballard,IND,138.8,559.5,4.3,20.9,155,0.8,0.7,100.9
Johnathan Franklin,GB,112.8,498.5,3,30.7,238.1,1.3,0.5,98.8
Bernard Pierce,BAL,144.2,661.8,3.5,13.9,100.2,0.4,0.5,98.7
Ronnie Hillman,DEN,123.7,536,3,29.4,223.9,1.1,1,98.7
Ben Tate,HOU,130.7,625.2,4.6,12.9,88.9,0.2,1,98.1
Willis McGahee,FA,0,488,2,0,327,1,1,97.5
Fred Jackson,BUF,127,541.4,3.6,25.5,194.3,0.9,1.6,97.4
Bryce Brown,PHI,139.1,610.3,4.2,17.8,120.5,0.5,2,97
Isaiah Pead,STL,136,631.2,3.2,17.8,130.6,0.4,0.9,96
Mikel Leshoure,DET,108.1,463.7,5.7,14,94.1,0.1,1.5,87.3
Jacquizz Rodgers,ATL,90.6,398.2,1.3,40.5,320.4,1.2,0.6,85.8
Michael Bush,CHI,106.6,402.9,5.1,10.8,88.7,0.3,0.7,80.1
Shonn Greene,TEN,112.6,462.2,4.7,9.8,69.1,0,1,79.8
Zac Stacy,STL,120,483.4,3.8,10,78.6,0.2,0.6,78.4
Bilal Powell,NYJ,95.6,407.9,2.1,21.9,160.7,0.6,0.6,71.3
Marcel Reece,OAK,48.7,202.8,0.8,40.8,329.5,1.9,0.5,67.8
Mike Tolbert,CAR,56.5,217.4,4.5,27,182,0.3,0.8,67.1
Ryan Williams,ARI,94.5,417.9,1.9,15.4,125.2,0.3,0.9,65.4
Kendall Hunter,SF,89.3,402.1,2.2,12.2,102.9,0.2,0.5,64.1
Robert Turbin,SEA,76.8,346.8,1.6,15.5,129.2,0.5,0.1,59.6
Daniel Thomas,MIA,86.1,334.2,2.7,14.7,112.9,0.2,1.2,59.5
Joique Bell,DET,60.8,272.5,1.7,24.9,188.1,0.6,0.5,58.9
Toby Gerhart,MIN,72.7,307.2,1.9,18.3,151.5,0.5,1.2,58.1
