PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Rob Gronkowski,NE,76.1,1082.40,12.8,0.1,184.8
Jimmy Graham,NO,90.7,1201.90,10.6,0.4,183.1
Antonio Gates,SD,70.4,908.8,8.3,0.3,140
Jason Witten,DAL,80.4,942,5.4,0.1,126.5
Aaron Hernandez,NE,68,808,7.3,0.3,124.1
Vernon Davis,SF,63.9,815.6,7.2,0.3,123.9
Jermichael Finley,GB,59.1,795.6,7.2,0.3,122.2
Tony Gonzalez,ATL,69.4,765.8,6.2,0.1,113.3
Fred Davis,WAS,61.3,786.3,5.3,0.2,110
Brent Celek,PHI,59,717.8,5.5,0.1,104.4
Brandon Pettigrew,DET,69.4,717,5.3,0.1,103.6
Dustin Keller,NYJ,61.3,736.2,5,0.2,103
Jermaine Gresham,CIN,62.2,665.5,5.8,0.3,100.9
Jacob Tamme,DEN,59.4,661.5,5.5,0.2,99
Owen Daniels,HOU,55.8,677.4,4.9,0.2,96.7
Jared Cook,TEN,52.6,683.6,4.8,0.3,96.4
Greg Olsen,CAR,51.9,613.9,5.2,0.2,92.3
Coby Fleener,IND,53.5,603.2,4.9,0.2,89.5
Ed Dickson,BAL,46.7,523.6,4.8,0.2,80.7
Kyle Rudolph,MIN,48.1,547.8,4.4,0.6,79.9
Heath Miller,PIT,50.2,573.1,3.5,0.6,76.8
Marcedes Lewis,JAC,43.8,519.1,3.8,0.8,72.9
Martellus Bennett,NYG,42.5,495.5,3.9,0.2,72.7
Kellen Winslow,SEA,47.1,507.6,3.1,0.2,68.6
Dallas Clark,TB,40,434.7,3.7,0.1,65.7
Scott Chandler,BUF,36.6,379.8,4.6,0.1,65.6
Lance Kendricks,STL,36.9,450,3.1,0.2,62.9
Anthony Fasano,MIA,36.3,418.5,3.5,0.4,62
Tony Moeaki,KC,38,433.3,2.7,0.1,59.5
Benjamin Watson,CLE,39.4,440.8,2.5,0.1,58.8
Dennis Pitta,BAL,32.4,387.6,2.9,0.2,56
Kellen Davis,CHI,28.4,339.9,3.4,0,54.4
Jed Collins,NO,28.6,306,3.9,0.3,53.6
Tony Scheffler,DET,26.3,333.8,3.4,0.2,53.2
Evan Moore,CLE,29.6,339.2,2.8,0,50.9
Robert Housler,ARI,31.5,344.4,2.5,0.3,48.8
Dwayne Allen,IND,30.3,344.9,2.4,0.1,48.6
Joel Dreessen,DEN,27.3,313.6,2.8,0,48.4
Zach Miller,SEA,31.8,345.8,2,0.2,45.8
Todd Heap,ARI,29.7,346.7,1.8,0.1,45.2
Charles Clay,MIA,22.6,277.8,2,0,39.5
Kevin Boss,KC,25.3,265.6,1.8,0,37.3
John Carlson,MIN,23.6,260.8,1.6,0,35.9
Chris Cooley,WAS,22,245.2,1.5,0,33.7
Brandon Myers,OAK,20.3,224.5,1.6,0,31.9
Michael Egnew,MIA,18.7,218.8,1.3,0,29.9
James Casey,HOU,15.7,203.5,1.3,0,28
David Ausberry,OAK,14.3,187.5,1.5,0,28
Delanie Walker,SF,17.8,201.1,1.3,0.6,26.7
Luke Stocker,TB,21,200.5,1.1,0,26.3
Jordan Cameron,CLE,16.2,185.4,1.2,0.4,25.2
Evan Rodriguez,CHI,13.6,172.3,1.3,0,24.7
Bear Pascoe,NYG,16,187.3,1,0,24.7
Randy McMichael,SD,17.3,193.6,0.8,0,24.2
Michael Hoomanawanui,STL,15.1,157.1,1.4,0,24
Jeremy Shockey,FA,15,167.5,1,0,22.8
Garrett Graham,HOU,11.6,164.2,0.9,0,21.9
Clay Harbor,PHI,13.6,155.2,0.7,0,19.9
Ladarius Green,SD,11.3,135.8,1,0,19.5
Orson Charles,CIN,11.9,144.2,0.8,0,19.4
Visanthe Shiancoe,NE,10.3,138.5,0.8,0,18.9
Zach Miller,JAC,13.3,134.3,0.7,0,17.8
Michael Palmer,ATL,12.4,120.9,0.9,0,17.7
Craig Stevens,TEN,9.7,122.3,0.9,0,17.3
Jeff Cumberland,NYJ,10.8,127,0.8,0,17.3
Leonard Pope,PIT,12.6,127.5,0.6,0,16.5
John Phillips,DAL,10,100.3,0.9,0,15.6
David Thomas,NO,11.8,104.2,0.8,0,15.3
Jake Ballard,NE,16,108.3,0.7,0,14.8
Tom Crabtree,GB,9.4,95.2,0.9,0,14.8
Gary Barnidge,CAR,10.9,116.4,0.4,0,13.8
Tory Humphrey,NO,7.4,95.4,0.7,0,13.4
Jeff King,ARI,9.3,86.6,0.7,0,12.6
Weslye Saunders,PIT,8.1,109,0.3,0,12.5
Richard Gordon,OAK,6.8,75.3,0.8,0,12.3
Travis Beckum,NYG,13.8,82.3,0.7,0.1,12.2
Taylor Thompson,TEN,6.8,94.1,0.3,0,11.4
Matt Spaeth,CHI,7,68.5,0.7,0,11.1
David Paulson,PIT,7.4,71.4,0.7,0,11
Dante Rosario,SD,7,74.1,0.6,0,10.8
Donald Lee,CIN,7.6,85.7,0.2,0,9.7
James Hanna,DAL,6,73.9,0.3,0,9.3
Alex Smith,CLE,6.4,59,0.4,0,8.3
