PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Calvin Johnson,DET,0.7,5,0,105.3,1652.1,10.3,1.2,225.3
A.J. Green,CIN,2.7,34.7,0,93.9,1362.1,10.4,0.4,201.4
Dez Bryant,DAL,1.5,7.5,0,94.3,1381.5,10.3,1.1,198.9
Brandon Marshall,CHI,0.3,1,0,104.8,1393.8,9.6,0.7,195.5
Julio Jones,ATL,4.3,48.9,0.1,83,1274.6,10,0.1,192.4
Demaryius Thomas,DEN,0,0,0,84.8,1272.5,10.2,1.6,185.2
Roddy White,ATL,0,0,0,90.5,1252.6,8.5,0.1,175.8
Andre Johnson,HOU,0,0,0,96.2,1356.5,6.8,0.4,175.6
Randall Cobb,GB,8.6,113,0.4,93.7,1133.6,8.3,1,175
Larry Fitzgerald,ARI,0,0,0,88.4,1257,8,0.3,173.2
Vincent Jackson,TB,0,0,0,71.9,1238.1,8.2,0.5,172.3
Victor Cruz,NYG,0,0,0,85.8,1159.6,8.5,0.4,165.8
Marques Colston,NO,0,0,0,79.6,1090.6,8.4,1.1,157.3
Reggie Wayne,IND,0,0,0,89.6,1193.7,6.2,0.6,155.7
Dwayne Bowe,KC,0,0,0,79.5,1107.9,7.3,0.5,153.6
Pierre Garcon,WAS,2,13.6,0,74.9,1073,7.2,0.4,151.4
Wes Welker,DEN,0.7,5.3,0,88,1072.3,7,0.1,149.4
Eric Decker,DEN,0,0,0,71,960.3,9,0.8,148.2
Jordy Nelson,GB,0,0,0,67,1000,7.9,0.5,146.5
Torrey Smith,BAL,2.4,27.5,0.1,61.4,1014.6,7.2,0.5,146.4
Antonio Brown,PIT,4.6,40.8,0,78.5,1055.9,6.2,1.5,143.9
Mike Wallace,MIA,1.7,30.7,0,65.7,1013.7,6.8,1,143.3
Hakeem Nicks,NYG,0,0,0,68.2,1001.3,7.1,0.5,141.8
Cecil Shorts,JAC,0,0,0,66.4,1039.9,6.2,0.6,140.1
Danny Amendola,NE,0.7,7,0,90.5,1032.5,6.4,1.2,140
James Jones,GB,0,0,0,67.5,897.2,8.4,0.8,138.7
Steve Johnson,BUF,0,0,0,74.5,979.7,6.3,1,133.6
DeSean Jackson,PHI,9.3,71.3,0.1,63.5,954,5.4,1.3,133.3
Steve Smith,CAR,2.7,33.3,0.1,71.8,993.8,5.3,0.8,133
Ty Hilton,IND,3.2,26,0,61.2,897.5,6.6,0.1,131.8
Mike Williams,TB,0,0,0,64.3,930.4,6.8,1.1,131.4
Lance Moore,NO,0,0,0,64.3,902.6,6.5,0.1,129.1
Tavon Austin,STL,8.8,98.6,0.4,72.7,872.3,4.9,1,127.2
Miles Austin,DAL,0,0,0,61.9,863.1,6.8,0.6,125.8
Kenny Britt,TEN,0,0,0,57.7,882.5,6.3,0.7,124.7
Josh Gordon,CLE,0,0,0,55.3,884.3,5.9,0.7,122.4
Greg Jennings,MIN,0,0,0,65.1,859.6,6,0.2,121.5
Anquan Boldin,SF,0.3,4,0,62.7,877.4,5.7,0.4,121.2
Denarius Moore,OAK,1.3,5.7,0,55,809.8,5.7,0.3,115.3
Michael Floyd,ARI,0,0,0,62.3,847.1,5.2,0.4,115
Golden Tate,SEA,3.8,22.1,0.1,52.7,750.5,6.4,0.6,114.8
Emmanuel Sanders,PIT,2.3,11.7,0,63.1,845.3,4.8,1.1,112.8
Sidney Rice,SEA,0,0,0,51.8,769.9,5.8,0.5,110.7
Kendall Wright,TEN,0,0,0,64.4,789.3,5.2,1.2,107.7
Chris Givens,STL,2.5,14.6,0,51.7,755.1,4.8,0.3,105.3
