RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Arian Foster, Hou RB",0/0,0,0,0,310,1459,12,63,730,2,296
2,"Ray Rice, Bal RB",0/0,0,0,0,282,1317,11,74,679,3,278
3,"LeSean McCoy, Phi RB",0/0,0,0,0,269,1294,12,38,285,3,245
4,"Aaron Rodgers, GB QB",348/501,4512,43,7,50,216,4,0,0,0,381
5,"Maurice Jones-Drew, Jac RB",0/0,0,0,0,298,1371,9,33,300,2,229
6,"Tom Brady, NE QB",383/590,4924,40,13,32,167,2,0,0,0,354
7,"Calvin Johnson, Det WR",0/0,0,0,0,3,32,0,92,1511,12,224
8,"Drew Brees, NO QB",430/614,4921,41,14,20,50,2,0,0,0,345
9,"Chris Johnson, Ten RB",0/0,0,0,0,300,1274,7,59,428,1,215
10,"Larry Fitzgerald, Ari WR",0/0,0,0,0,0,0,0,84,1309,9,184
11,"Andre Johnson, Hou WR  P",0/0,0,0,0,2,14,0,81,1234,8,172
12,"Matthew Stafford, Det QB",395/626,5012,41,17,20,60,1,0,0,0,338
13,"Rob Gronkowski, NE TE  P",0/0,0,0,0,0,0,0,80,1191,12,191
14,"Roddy White, Atl WR",0/0,0,0,0,0,0,0,101,1194,9,173
15,"Greg Jennings, GB WR  Q",0/0,0,0,0,0,0,0,73,1125,9,166
16,"Marshawn Lynch, Sea RB",0/0,0,0,0,266,1073,11,25,187,1,193
17,"Matt Forte, Chi RB  P",0/0,0,0,0,257,1161,5,50,512,1,199
18,"DeMarco Murray, Dal RB",0/0,0,0,0,203,1053,7,33,322,1,183
19,"Mike Wallace, Pit WR",0/0,0,0,0,5,54,0,72,1180,8,169
20,"Wes Welker, NE WR",0/0,0,0,0,2,3,0,118,1343,7,176
21,"Jamaal Charles, KC RB  P",0/0,0,0,0,241,1215,3,40,390,2,186
22,"Jimmy Graham, NO TE",0/0,0,0,0,0,0,0,87,1265,10,186
23,"Cam Newton, Car QB",302/506,3986,22,18,120,742,8,0,0,0,325
24,"Adrian Peterson, Min RB  P",0/0,0,0,0,248,1124,8,22,197,0,177
25,"Hakeem Nicks, NYG WR  P",0/0,0,0,0,0,0,0,73,1125,8,160
26,"A.J. Green, Cin WR",0/0,0,0,0,4,51,0,76,1223,7,169
27,"Eli Manning, NYG QB",379/600,4782,30,16,31,24,1,0,0,0,279
28,"Darren McFadden, Oak RB",0/0,0,0,0,206,988,7,44,339,1,175
29,"Victor Cruz, NYG WR",0/0,0,0,0,0,0,0,72,1107,7,150
30,"Ryan Mathews*, SD RB  O",0/0,0,0,0,220,1079,7,47,441,1,195
31,"Steven Jackson, StL RB",0/0,0,0,0,284,1176,6,38,313,0,182
32,"Michael Vick, Phi QB  P",236/392,3097,19,10,79,627,6,0,0,0,271
33,"Julio Jones, Atl WR",0/0,0,0,0,7,68,0,74,1158,6,155
34,"Fred Jackson, Buf RB",0/0,0,0,0,238,1099,7,40,382,0,185
35,"Brandon Marshall, Chi WR",0/0,0,0,0,2,20,0,80,1129,6,148
36,"Trent Richardson, Cle RB  Q",0/0,0,0,0,286,1258,7,29,232,1,190
